Epoch,TrainLoss,TrainAcc,TrainF1,ValLoss,ValAcc,ValF1
1,0.5736414451886268,0.7178571428571429,0.7178217985785273,0.42967451010307256,0.8022571428571429,0.8022273279207998
2,0.49707627405215354,0.7680285714285714,0.7680205779285042,0.3938658562672399,0.8258,0.8257890412768948
3,0.5074423436265793,0.7646571428571428,0.7646414707729196,0.3909347914975055,0.8263142857142857,0.82629654811583
4,0.49233048838855575,0.7738,0.7737863794404699,0.37140430977744776,0.837,0.8369829746448848
5,0.4961303058114365,0.7735142857142857,0.7735036774245699,0.37609714998380983,0.836,0.8359877381281235
6,0.4855340395095575,0.7787428571428572,0.7787325802758758,0.37061258856832546,0.8391714285714286,0.8391593241160777
7,0.48312559887005463,0.7793428571428571,0.7793318185727918,0.36076604906659926,0.8436285714285714,0.8436116853371661
8,0.467092453672068,0.7871428571428571,0.7871361525697288,0.36453114874171516,0.8414571428571429,0.8414413162416333
9,0.4694150497008414,0.7843714285714286,0.7843597507972564,0.3583129103275111,0.8448857142857142,0.8448695125937038
10,0.46081764256432106,0.7878,0.7877911910413194,0.355931280955781,0.8484571428571429,0.8484436159668819
